config,case,init,instellation,ps_bar,d0,cloudir,T_global,T_min,T_max,OLR_global,ASR_global,TOA_imbalance,dT_last,n_years,state,diffadj,rot_scaling,D,dt,co2_condensing,icelineN,icelineS,iceline_lon,converged,dOLR,wall_s,rc,error
constant_c-35,4,warm,1200,2.34,3.33,-35.0,324.101,264.036,417.131,291.58875850804714,293.7944802433792,2.2057217353320766,0.057999999999992724,34,equilibrium,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00018310546875,0.6,0,
constant_c-35,5,warm,1500,0.16,3.33,-35.0,2016.87,1943.787,2153.751,327.6628153655752,367.9721970352606,40.309381669685365,122.16799999999989,138,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,2.0,0,
constant_c-35,6,warm,2100,1.83,3.33,-35.0,46420.307,nan,nan,338.9911272946773,515.0727491167302,176.08162182205285,558.6650000000009,813,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,11.9,0,
constant_c-35,7,warm,1600,0.55,3.33,-35.0,7253.869,7182.294,7406.25,329.8029523469403,392.4837140326206,62.680761685680295,194.07600000000002,352,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,5.1,0,
constant_c-35,8,warm,800,6.16,3.33,-35.0,235.977,202.965,288.387,175.26466420462802,176.56447486560722,1.2998106609792046,-0.06700000000000728,32,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0003662109375,0.4,0,
constant_c-35,9,warm,1100,0.7,3.33,-35.0,285.071,234.965,365.431,267.6228804105727,269.64428564061643,2.02140523004374,-0.117999999999995,22,equilibrium,False,False,3.33,1350.0,0.0,90.0,-12.597,102.597,True,0.000244140625,0.3,0,
constant_c-35,10,warm,400,4.83,3.33,-35.0,164.812,149.247,188.319,78.16996513261763,78.69550618318615,0.5255410505685205,-0.08199999999999363,31,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00037384033203125,0.4,0,
constant_c-35,11,warm,900,0.1,3.33,-35.0,235.09,201.073,290.728,201.38981286019518,202.85096810120174,1.4611552410065656,-0.10900000000000887,26,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.000274658203125,0.4,0,
constant_c-35,12,warm,1500,2.98,3.33,-35.0,10709.397,nan,nan,338.11544312909393,367.8694477261505,29.754004597056564,87.96399999999994,1052,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000396728515625,15.0,0,
constant_c-35,13,warm,1600,0.16,3.33,-35.0,4086.131,4015.115,4239.081,328.08393047477443,392.5038060067706,64.41987553199618,199.70499999999993,188,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00042724609375,2.7,0,
constant_c-35,14,warm,900,1.44,3.33,-35.0,250.512,212.734,310.661,210.52237794887904,212.02028455846474,1.4979066095856979,-0.0589999999999975,26,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,4.57763671875e-05,0.4,0,
constant_c-35,15,warm,600,0.43,3.33,-35.0,196.107,173.998,230.017,120.2571076751024,121.03942226957383,0.7823145944714298,-0.12399999999999523,24,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00048828125,0.3,0,
constant_c-35,16,warm,1400,10.0,3.33,-35.0,2862.498,2784.544,2980.316,335.88112200224333,343.1617460785918,7.280624076348488,15.721000000000004,954,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,13.2,0,
constant_c-40,1,warm,500,0.7,3.33,-40.0,178.088,159.103,206.822,99.22277700308163,99.87197433113715,0.6491973280555214,-0.0519999999999925,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00040435791015625,0.4,0,
constant_c-40,2,warm,1900,7.85,3.33,-40.0,58336.087,nan,nan,359.17848690713663,465.78998558219905,106.61149867506242,334.7220000000016,1642,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,23.7,0,
constant_c-40,3,warm,2400,0.21,3.33,-40.0,20300.364,nan,nan,335.0064313269705,588.7508689562319,253.74443762926137,808.5920000000006,247,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,3.6,0,
constant_c-40,4,warm,1200,2.34,3.33,-40.0,317.855,258.688,409.985,291.34523078239226,293.5500316630749,2.204800880682626,0.05400000000003047,32,equilibrium,False,False,3.33,1350.0,0.0,90.0,-58.236,148.236,True,9.1552734375e-05,0.5,0,
constant_c-40,5,warm,1500,0.16,3.33,-40.0,2180.357,2105.639,2315.603,332.70872582071104,367.9721970352606,35.263471214549554,105.80499999999984,174,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0003662109375,2.4,0,
constant_c-40,6,warm,2100,1.83,3.33,-40.0,43985.166,nan,nan,343.83452170537,515.0727491167302,171.23822741136019,542.9729999999981,792,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00042724609375,11.5,0,
constant_c-40,7,warm,1600,0.55,3.33,-40.0,6624.299,6551.14,6775.096,334.69332645200086,392.4837140326206,57.79038758061972,178.23199999999997,348,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,4.9,0,
constant_c-40,8,warm,800,6.16,3.33,-40.0,231.235,198.385,283.381,173.57177519148033,174.87127073410466,1.299495542624328,-0.044999999999987494,34,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00030517578125,0.4,0,
constant_c-40,9,warm,1100,0.7,3.33,-40.0,281.018,231.489,360.53,267.28780035275145,269.2945678622826,2.00676750953113,-0.06500000000005457,24,equilibrium,False,False,3.33,1350.0,0.0,90.0,-8.434,98.434,True,6.103515625e-05,0.3,0,
constant_c-40,10,warm,400,4.83,3.33,-40.0,159.719,143.939,183.49,78.16688679576725,78.69538920540771,0.5285024096404527,-0.056000000000011596,34,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00034332275390625,0.4,0,
constant_c-40,11,warm,900,0.1,3.33,-40.0,232.029,198.139,287.32,199.91768910425608,201.36743373706284,1.4497446328067554,-0.13100000000000023,23,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.000244140625,0.3,0,
constant_c-40,12,warm,1500,2.98,3.33,-40.0,8650.069,8572.255,8782.162,342.2409116543668,367.8694477261505,25.628536071783685,74.60099999999875,979,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000396728515625,13.6,0,
constant_c-40,13,warm,1600,0.16,3.33,-40.0,3492.12,3419.514,3643.479,332.99030125632873,392.5038060067706,59.51350475044188,183.8130000000001,172,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0003662109375,2.4,0,
constant_c-40,14,warm,900,1.44,3.33,-40.0,246.914,209.304,306.739,209.49707862649007,210.98277402145615,1.4856953949660863,-0.12700000000000955,24,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00030517578125,0.4,0,
constant_c-40,15,warm,600,0.43,3.33,-40.0,192.693,170.464,226.704,120.03374558335538,120.81532423529303,0.7815786519376502,-0.05999999999997385,26,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00025177001953125,0.3,0,
constant_c-40,16,warm,1400,10.0,3.33,-40.0,572.922,496.489,692.142,331.29898204944027,343.14063338266976,11.841651333229493,30.314000000000078,55,runaway,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000213623046875,0.8,0,
constant_c-45,1,warm,500,0.7,3.33,-45.0,173.921,154.747,202.799,99.12519825382093,99.76930209870291,0.6441038448819825,-0.07099999999999795,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0001983642578125,0.4,0,
constant_c-45,2,warm,1900,7.85,3.33,-45.0,55400.046,nan,nan,363.85042932053284,465.78998558219905,101.93955626166621,319.5849999999991,1629,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000396728515625,24.0,0,
constant_c-45,3,warm,2400,0.21,3.33,-45.0,20298.725,nan,nan,340.0063471409877,588.7508689562319,248.74452181524418,792.3909999999996,252,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,3.8,0,
constant_c-45,4,warm,1200,2.34,3.33,-45.0,312.242,253.867,403.507,291.0791756221118,293.27736930814484,2.1981936860330507,0.02600000000001046,32,equilibrium,False,False,3.33,1350.0,0.0,90.0,-45.573,135.573,True,3.0517578125e-05,0.5,0,
constant_c-45,5,warm,1500,0.16,3.33,-45.0,1635.983,1559.702,1769.663,337.5375069267753,367.9721970352606,30.434690108485313,90.16799999999989,144,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000396728515625,2.0,0,
constant_c-45,6,warm,2100,1.83,3.33,-45.0,43514.276,nan,nan,348.8033772946773,515.0727491167302,166.26937182205285,526.8729999999996,807,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,11.9,0,
constant_c-45,7,warm,1600,0.55,3.33,-45.0,6624.559,6549.78,6773.736,339.69308924417885,392.4837140326206,52.79062478844173,162.02599999999984,382,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,5.6,0,
constant_c-45,8,warm,800,6.16,3.33,-45.0,225.075,192.961,276.231,169.61736983079325,170.92679150239348,1.3094216716002336,-0.030000000000001137,36,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0001068115234375,0.5,0,
constant_c-45,9,warm,1100,0.7,3.33,-45.0,277.166,228.139,355.882,266.937537953824,268.92684279899396,1.9893048451699542,-0.06400000000002137,24,equilibrium,False,False,3.33,1350.0,0.0,90.0,-4.503,94.503,True,0.00018310546875,0.3,0,
constant_c-45,10,warm,400,4.83,3.33,-45.0,128.499,128.499,128.499,60.459,78.69538920540771,18.236389205407704,-43.679,16,CO2 condensing,False,False,3.33,1350.0,1.0,0.0,0.0,0.0,True,0.0,0.3,0,
constant_c-45,11,warm,900,0.1,3.33,-45.0,228.723,195.025,283.545,198.01018473305544,199.44888280691885,1.4386980738634065,-0.031999999999982265,28,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.000244140625,0.4,0,
constant_c-45,12,warm,1500,2.98,3.33,-45.0,7337.809,7258.594,7468.499,346.5684751513628,367.8694477261505,21.300972574787693,60.57600000000002,992,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,14.2,0,
constant_c-45,13,warm,1600,0.16,3.33,-45.0,3402.439,3328.219,3552.183,337.97446062846404,392.5038060067706,54.52934537830657,167.65999999999985,183,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,2.6,0,
constant_c-45,14,warm,900,1.44,3.33,-45.0,242.295,205.067,301.649,206.82105881199567,208.29923515346155,1.4781763414658826,-0.08899999999999864,27,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00042724609375,0.4,0,
constant_c-45,15,warm,600,0.43,3.33,-45.0,189.112,166.755,223.238,119.79337763084345,120.57436050550709,0.7809828746636356,-0.0519999999999925,27,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00031280517578125,0.3,0,
constant_c-45,16,warm,1400,10.0,3.33,-45.0,500.604,422.241,618.187,336.61413857706924,342.9014047247965,6.28726614772728,12.399999999999977,51,runaway,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0,0.8,0,
constant_c-50,1,warm,500,0.7,3.33,-50.0,169.585,150.178,198.706,99.09948648207968,99.7414363625024,0.6419498804227146,-0.09499999999999886,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00035858154296875,0.4,0,
constant_c-50,2,warm,1900,7.85,3.33,-50.0,52478.663,nan,nan,368.5066880708979,465.78998558219905,97.28329751130116,304.49900000000343,1615,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,23.4,0,
constant_c-50,3,warm,2400,0.21,3.33,-50.0,20669.006,nan,nan,345.0220403879191,588.7508689562319,243.7288285683128,776.1370000000024,262,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,3.9,0,
constant_c-50,4,warm,1200,2.34,3.33,-50.0,306.829,249.201,397.258,290.77559585239214,292.9687859645969,2.1931901122047748,0.06200000000001182,27,equilibrium,False,False,3.33,1350.0,0.0,90.0,-36.569,126.569,True,0.0001220703125,0.4,0,
constant_c-50,5,warm,1500,0.16,3.33,-50.0,1551.24,1473.35,1683.31,342.5053437508641,367.9721970352606,25.466853284396507,74.0630000000001,163,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,2.3,0,
constant_c-50,6,warm,2100,1.83,3.33,-50.0,42127.575,nan,nan,353.7094261309161,515.0727491167302,161.36332298581408,510.9779999999955,805,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,11.7,0,
constant_c-50,7,warm,1600,0.55,3.33,-50.0,5318.119,5241.807,5465.761,344.428129632098,392.4837140326206,48.055584400522605,146.692,334,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,4.8,0,
constant_c-50,8,warm,800,6.16,3.33,-50.0,218.817,187.594,268.164,165.37632304802057,166.62321341538538,1.2468903673648128,-0.06299999999998818,33,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0003509521484375,0.4,0,
constant_c-50,9,warm,1100,0.7,3.33,-50.0,273.281,224.73,351.232,266.38004647741406,268.3511862096849,1.9711397322708422,-0.08400000000000318,24,equilibrium,False,False,3.33,1350.0,0.0,90.0,-1.126,91.126,True,0.000213623046875,0.3,0,
constant_c-50,10,warm,400,4.83,3.33,-50.0,128.499,128.499,128.499,65.459,78.69538920540771,13.236389205407704,-102.69800000000001,12,CO2 condensing,False,False,3.33,1350.0,1.0,0.0,0.0,0.0,True,0.0,0.2,0,
constant_c-50,11,warm,900,0.1,3.33,-50.0,224.348,191.194,278.169,193.6787523855898,195.11016185471453,1.4314094691247305,-0.022999999999996135,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,7.62939453125e-05,0.4,0,
constant_c-50,12,warm,1500,2.98,3.33,-50.0,5440.739,5360.301,5570.2,350.35046205849943,367.8694477261505,17.518985667651066,48.32799999999952,883,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000457763671875,12.2,0,
constant_c-50,13,warm,1600,0.16,3.33,-50.0,3398.928,3323.088,3547.053,342.97352985300427,392.5038060067706,49.53027615376635,151.45699999999988,202,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00030517578125,2.8,0,
constant_c-50,14,warm,900,1.44,3.33,-50.0,238.426,201.348,297.508,205.34176630358508,206.8117862717374,1.4700199681523145,-0.09000000000000341,26,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,9.1552734375e-05,0.4,0,
constant_c-50,15,warm,600,0.43,3.33,-50.0,185.425,162.912,219.678,119.59792485114171,120.3775744780163,0.7796496268745869,-0.06699999999997885,27,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0004119873046875,0.4,0,
constant_c-50,16,warm,1400,10.0,3.33,-50.0,470.944,392.305,586.864,340.0900490824272,342.625832108771,2.535783026343836,0.19400000000001683,121,equilibrium,False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000213623046875,1.7,0,
constant_c-55,1,warm,500,0.7,3.33,-55.0,164.947,145.285,194.374,99.09207340643867,99.73712255949195,0.6450491530532787,-0.0730000000000075,31,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.00025177001953125,0.4,0,
constant_c-55,2,warm,1900,7.85,3.33,-55.0,52090.148,nan,nan,373.45950946470276,465.78998558219905,92.33047611749629,288.4490000000005,1687,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00048828125,24.2,0,
constant_c-55,3,warm,2400,0.21,3.33,-55.0,19943.061,nan,nan,349.9904889135744,588.7508689562319,238.76038004265752,760.0400000000009,258,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,3.8,0,
constant_c-55,4,warm,1200,2.34,3.33,-55.0,301.829,244.862,391.458,290.4552100894197,292.6391842908618,2.1839742014420835,0.06499999999999773,24,equilibrium,False,False,3.33,1350.0,0.0,90.0,-29.605,119.605,True,0.0001220703125,0.3,0,
constant_c-55,5,warm,1500,0.16,3.33,-55.0,1104.734,1025.292,1235.248,347.3027748397977,367.9721970352606,20.669422195462914,58.524999999999864,130,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.0003662109375,1.7,0,
constant_c-55,6,warm,2100,1.83,3.33,-55.0,40351.818,nan,nan,358.58485473711124,515.0727491167302,156.48789437961892,495.1820000000007,795,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.00042724609375,11.6,0,
constant_c-55,7,warm,1600,0.55,3.33,-55.0,4856.968,4779.071,5003.025,349.31863675938007,392.4837140326206,43.16507727324051,130.84500000000025,339,"runaway (beyond table, T > 620 K)",False,False,3.33,1350.0,0.0,90.0,-90.0,180.0,True,0.000335693359375,4.8,0,
constant_c-55,8,warm,800,6.16,3.33,-55.0,213.344,182.751,261.059,162.31412705396022,163.45945027901885,1.1453232250586325,-0.0630000000000166,31,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,0.0002899169921875,0.4,0,
constant_c-55,9,warm,1100,0.7,3.33,-55.0,269.483,221.367,346.701,265.8345436836336,267.7875594528385,1.9530157692048533,-0.08100000000001728,24,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,6.103515625e-05,0.3,0,
constant_c-55,10,warm,400,4.83,3.33,-55.0,128.499,128.499,128.499,70.459,78.69538920540771,8.236389205407704,-143.174,10,CO2 condensing,False,False,3.33,1350.0,1.0,0.0,0.0,0.0,True,0.0,0.1,0,
constant_c-55,11,warm,900,0.1,3.33,-55.0,219.35,186.946,271.057,188.10055813646196,189.46452391037025,1.3639657739082907,-0.043000000000006366,29,equilibrium,False,False,3.33,1350.0,0.0,0.0,0.0,0.0,True,6.103515625e-05,0.4,0,
