# FILLET Exp3 with HEXTOR - using cloudir = -6.3 to stay consistent with Ben2 and Ben3
# Compile all cases into a list

# Name of benchmark/experiment: Experiment 3
# Describe how ice line latitude is determined: ice line occurs if zonal average temperature is less than or equal to 263

# Columns of data
# Case = case number (0 -> total number of cases in experiment)
# Inst = instellation (S_earth; i.e., relative to Earth's 1361 W m^-2)
# Obl = obliquity (degrees)
# XCO2 = mixing ratio (volume) of CO2 (ppm)
# Tglob = global, annual mean surface temperature (K)
# IceLineNMax = latitude of northern edge of ice in northern hemisphere (deg)
# IceLineNMin = latitude of southern edge of ice in northern hemisphere (deg)
# IceLineSMax = latitude of northern edge of ice in southern hemisphere (deg)
# IceLineSMin = latitude of southern edge of ice in southern hemisphere (deg)
# Diff = diffusion coefficient
# OLR = global, annual mean outgoing longwave radiation

# Examples for IceLine max and min:
# Polar caps: IceLineNMax = 90, IceLineNMin = 60, IceLineSMax = -60, IceLineSMin = -90
# Snowball state: IceLineNMax = 90, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -90
# Ice free state: IceLineNMax = 90, IceLineNMin = 90, IceLineSMax = -90, IceLineSMin = -90
# Ice belt: IceLineNMax = 30, IceLineNMin = 0, IceLineSMax = 0, IceLineSMin = -30
# Note ice belt doesn't really have "edges" at 0 deg, but record as 0 anyway to
# keep the columns the same length

# Case Inst Obl XCO2 Tglob IceLineNMax IceLineNMin IceLineSMax IceLineSMin Diff OLRglob
0 0.80 23.5    280.0 210.05 90.0  0.0    0.0 -90.00 0.50 105.51
1 0.81 23.5    280.0 211.10 90.0  0.0    0.0 -90.00 0.50 107.32
2 0.82 23.5    280.0 212.16 90.0  0.0    0.0 -90.00 0.50 109.15
3 0.84 23.5    280.0 213.22 90.0  0.0    0.0 -90.00 0.50 110.99
4 0.85 23.5    280.0 214.28 90.0  0.0    0.0 -90.00 0.50 112.85
5 0.86 23.5    280.0 215.34 90.0  0.0    0.0 -90.00 0.50 114.73
6 0.87 23.5    280.0 216.40 90.0  0.0    0.0 -90.00 0.50 116.63
7 0.89 23.5    280.0 217.47 90.0  0.0    0.0 -90.00 0.50 118.55
8 0.90 23.5    280.0 218.54 90.0  0.0    0.0 -90.00 0.50 120.49
9 0.91 23.5    280.0 219.61 90.0  0.0    0.0 -90.00 0.50 122.44
10 0.93 23.5    280.0 220.69 90.0  0.0    0.0 -90.00 0.50 124.42
11 0.94 23.5    280.0 221.77 90.0  0.0    0.0 -90.00 0.50 126.42
12 0.95 23.5    280.0 222.86 90.0  0.0    0.0 -90.00 0.50 128.45
13 0.96 23.5    280.0 223.96 90.0  0.0    0.0 -90.00 0.50 130.51
14 0.97 23.5    280.0 225.06 90.0  0.0    0.0 -90.00 0.50 132.60
15 0.99 23.5    280.0 226.17 90.0  0.0    0.0 -90.00 0.50 134.70
16 1.00 23.5    280.0 227.29 90.0  0.0    0.0 -90.00 0.50 136.84
17 1.01 23.5    280.0 228.42 90.0  0.0    0.0 -90.00 0.50 139.01
18 1.02 23.5    280.0 229.56 90.0  0.0    0.0 -90.00 0.50 141.20
19 1.04 23.5    280.0 230.71 90.0  0.0    0.0 -90.00 0.50 143.44
20 1.05 23.5    280.0 231.87 90.0  0.0    0.0 -90.00 0.50 145.72
21 1.06 23.5    280.0 233.05 90.0  0.0    0.0 -90.00 0.50 148.04
22 1.07 23.5    280.0 234.24 90.0  0.0    0.0 -90.00 0.50 150.40
23 1.09 23.5    280.0 235.45 90.0  0.0    0.0 -90.00 0.50 152.80
24 1.10 23.5    280.0 236.67 90.0  0.0    0.0 -90.00 0.50 155.25
25 1.11 23.5    280.0 237.92 90.0  0.0    0.0 -90.00 0.50 157.76
26 1.12 23.5    280.0 240.53 90.0  0.0    0.0 -90.00 0.50 163.06
27 1.14 23.5    280.0 244.01 90.0  0.0    0.0 -90.00 0.50 170.13
28 1.15 23.5    280.0 249.03 90.0  0.0    0.0 -90.00 0.50 180.35
29 1.16 23.5    280.0 303.69 90.0 90.0  -90.0 -90.00 0.50 304.77
30 1.17 23.5    280.0 305.22 90.0 90.0  -90.0 -90.00 0.50 308.90
31 1.19 23.5    280.0 306.64 90.0 90.0  -90.0 -90.00 0.50 312.83
32 1.20 23.5    280.0 307.99 90.0 90.0  -90.0 -90.00 0.50 316.71
33 1.21 23.5    280.0 309.33 90.0 90.0  -90.0 -90.00 0.50 320.59
34 1.23 23.5    280.0 310.62 90.0 90.0  -90.0 -90.00 0.50 324.40
35 1.24 23.5    280.0 311.91 90.0 90.0  -90.0 -90.00 0.50 328.26
36 1.25 23.5    280.0 313.18 90.0 90.0  -90.0 -90.00 0.50 332.11
37 1.26 23.5    280.0 314.41 90.0 90.0  -90.0 -90.00 0.50 335.90
38 1.27 23.5    280.0 315.65 90.0 90.0  -90.0 -90.00 0.50 339.72
